Sample ID	block	run	treatment	fauna	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	Germination1	value1	Germination2	value2
2.5.2	.5	2	Worms-control temp	WORM	COLD	0	0	24	9	1.5	0_germ_perc	0	0_germ_perc	0
2.5.3	.5	2	Cockles-control temp	COCKLE	COLD	2	0	6	10	0.6	0_germ_perc	0.5	0_germ_perc	0.5
2.5.4	.5	2	Shrimps-control temp	SHRIMP	COLD	0	2	0	10	0.25	0_germ_perc	0	0_germ_perc	0
2.5.5	.5	2	no fauna-control temp	NO	COLD	0	0	3	11	0.227272727	0_germ_perc	0.166666667	0_germ_perc	0.166666667
2.6.1	.6	2	Shrimps-control temp	SHRIMP	COLD	0	1	4	8	0.0625	0_germ_perc	0.4	0_germ_perc	0.4
2.6.2	.6	2	Cockles-control temp	COCKLE	COLD	2	0	5	9	0.444444444	0_germ_perc	0	0_germ_perc	0
2.6.3	.6	2	Mix-control temp	MIX	COLD	1	1	4	10	0.4	0_germ_perc	0	0_germ_perc	0
2.6.4	.6	2	no fauna-control temp	NO	COLD	0	0	2	7	0.071428571	0_germ_perc	0.166666667	0_germ_perc	0.166666667
2.6.5	.6	2	Worms-control temp	WORM	COLD	0	0	27	10	2.2	0_germ_perc		0_germ_perc	
2.7.1	.7	2	Shrimps-control temp	SHRIMP	COLD	0	1	0	9	0	0_germ_perc	0	0_germ_perc	0
2.7.2	.7	2	Mix-control temp	MIX	COLD	1	1	14	13	0.153846154	0_germ_perc	0.5	0_germ_perc	0.5
2.7.3	.7	2	Worms-control temp	WORM	COLD	0	0	79	12	0.166666667	0_germ_perc	0.166666667	0_germ_perc	0.166666667
2.7.4	.7	2	Cockles-control temp	COCKLE	COLD	2	0	2	8	0.75	0_germ_perc		0_germ_perc	
2.7.5	.7	2	no fauna-control temp	NO	COLD	0	0	0	10	0.25	0_germ_perc	0.4	0_germ_perc	0.4
2.8.1	.8	2	Cockles-control temp	COCKLE	COLD	2	0	0	10	0.5	0_germ_perc	0	0_germ_perc	0
2.8.2	.8	2	Shrimps-control temp	SHRIMP	COLD	0	2	10	10	0.3	0_germ_perc	0	0_germ_perc	0
2.8.3	.8	2	Mix-control temp	MIX	COLD	1	0	22	13	0.153846154	0_germ_perc	0.166666667	0_germ_perc	0.166666667
2.8.4	.8	2	Worms-control temp	WORM	COLD	0	0	53	11	0.272727273	0_germ_perc	0	0_germ_perc	0
2.8.5	.8	2	no fauna-control temp	NO	COLD	0	0	0	10	0	0_germ_perc	0.3	0_germ_perc	0.3
2.9.1	.9	2	Worms-Warming	WORM	WARM	0	0	31	11	0.227272727	0_germ_perc	0	0_germ_perc	0
2.9.2	.9	2	no fauna-Warming	NO	WARM	0	0	15	10	0.2	0_germ_perc	0	0_germ_perc	0
2.9.3	.9	2	Shrimps-Warming	SHRIMP	WARM	0	1	3	10	0.4	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.9.4	.9	2	Cockles-Warming	COCKLE	WARM	2	0	3	10	0.6	0_germ_perc	0	0_germ_perc	0
2.9.5	.9	2	Mix-Warming	MIX	WARM	1	1	4	10	0.4	0_germ_perc	0.5	0_germ_perc	0.5
3.1.1	.1	3	Worms  - control	WORM	COLD	0	0	2	8	0.125	0_germ_perc	0	0_germ_perc	0
3.1.2	.1	3	No fauna – control	NO	COLD	0	0	20	8	0.5	0_germ_perc		0_germ_perc	
3.1.3	.1	3	Mix - control	MIX	COLD	1	1	6	10	0.4	0_germ_perc	0	0_germ_perc	0
3.1.4	.1	3	Cockles - control	COCKLE	COLD	2	0	0	10	0.65	0_germ_perc	0	0_germ_perc	0
3.1.5	.1	3	Shrimps - control	SHRIMP	COLD	0	2	0	10	1.6	0_germ_perc		0_germ_perc	
3.10.1	10	3	No fauna – warming	NO	WARM	0	0	0	5	0	0_germ_perc	0.5	0_germ_perc	0.5
3.10.2	10	3	Mix – warming	MIX	WARM	1	0	0	10	0.4	0_germ_perc	0	0_germ_perc	0
3.10.3	10	3	Cockles – warming	COCKLE	WARM	2	0	2	9	0.5	0_germ_perc		0_germ_perc	
3.10.4	10	3	Shrimps – warming	SHRIMP	WARM	0	3	0	11	0.136363636	0_germ_perc	0	0_germ_perc	0
3.10.5	10	3	Worms – warming	WORM	WARM	0	0	6	11	0.227272727	0_germ_perc	0	0_germ_perc	0
3.11.1	11	3	Cockles – warming	COCKLE	WARM	2	0	3	9	0.5	0_germ_perc		0_germ_perc	
3.11.2	11	3	Worms – warming	WORM	WARM	0	0	24	1	0	0_germ_perc	0	0_germ_perc	0
3.11.3	11	3	Mix – warming	MIX	WARM	1	1	0	12	0.541666667	0_germ_perc	0	0_germ_perc	0
3.11.4	11	3	No fauna – warming	NO	WARM	0	0	1	11	0.227272727	0_germ_perc	0	0_germ_perc	0
3.11.5	11	3	Shrimps – warming	SHRIMP	WARM	0	0	0	10	0.1	0_germ_perc	0	0_germ_perc	0
3.12.1	12	3	Cockles – control	COCKLE	COLD	2	0	1	11	0.681818182	0_germ_perc	0	0_germ_perc	0
3.12.2	12	3	Shrimps – control	SHRIMP	COLD	0	3	11	11	0.545454545	0_germ_perc	0.2	0_germ_perc	0.2
3.12.3	12	3	Worms  - control  	WORM	COLD	0	0	6	10	0.55	0_germ_perc	0	0_germ_perc	0
3.12.4	12	3	No fauna – control	NO	COLD	0	0	3	10	0.15	0_germ_perc	0	0_germ_perc	0
3.12.5	12	3	Mix – control	MIX	COLD	2	1	4	10	1.05	0_germ_perc	1	0_germ_perc	1
3.13.1	13	3	Worms – warming	WORM	WARM	0	0	0	10	0.3	0_germ_perc	0	0_germ_perc	0
3.13.2	13	3	No fauna – warming	NO	WARM	0	0	2	9	0	0_germ_perc	0.25	0_germ_perc	0.25
3.13.3	13	3	Mix – warming	MIX	WARM	1	1	1	10	0.65	0_germ_perc	0	0_germ_perc	0
3.13.4	13	3	Shrimps – warming	SHRIMP	WARM	0	2	0	10	0.25	0_germ_perc	0	0_germ_perc	0
3.13.5	13	3	Cockles – warming	COCKLE	WARM	2	0	0	9	0.555555556	0_germ_perc	0	0_germ_perc	0
3.14.1	14	3	Cockles – control	COCKLE	COLD	2	0	0	9	0.333333333	0_germ_perc	0	0_germ_perc	0
3.14.2	14	3	Mix – control	MIX	COLD	1	2	12	11	0.363636364	0_germ_perc	0.333333333	0_germ_perc	0.333333333
3.14.3	14	3	Worms  - control	WORM	COLD	0	0	11	7	0.142857143	0_germ_perc	0.333333333	0_germ_perc	0.333333333
3.14.4	14	3	No fauna – control	NO	COLD	0	0	4	10	0.25	0_germ_perc	0	0_germ_perc	0
3.14.5	14	3	Shrimps – control	SHRIMP	COLD	0	1	3	10	0.9	0_germ_perc	0	0_germ_perc	0
3.15.1	15	3	Mix – warming	MIX	WARM	1	2	1	10	0.55	0_germ_perc	0.166666667	0_germ_perc	0.166666667
3.15.2	15	3	Worms – warming	WORM	WARM	0	0	15	9	0.333333333	0_germ_perc	0	0_germ_perc	0
3.15.3	15	3	Cockles – warming	COCKLE	WARM	2	0	4	10	0.9	0_germ_perc		0_germ_perc	
3.15.4	15	3	No fauna – warming	NO	WARM	0	0	10	10	0.05	0_germ_perc	0.222222222	0_germ_perc	0.222222222
3.15.5	15	3	Shrimps – warming	SHRIMP	WARM	0	4	8	10	0.35	0_germ_perc	0.5	0_germ_perc	0.5
3.16.1	16	3	Shrimps – warming	SHRIMP	WARM	0	2	0	11	0.545454545	0_germ_perc	0	0_germ_perc	0
3.16.2	16	3	No fauna – warming	NO	WARM	0	0	2	8	0	0_germ_perc	0	0_germ_perc	0
3.16.3	16	3	Worms – warming	WORM	WARM	0	0	6	7	0	0_germ_perc	0.142857143	0_germ_perc	0.142857143
3.16.4	16	3	Cockles – warming	COCKLE	WARM	2	0	4	10	1	0_germ_perc	0	0_germ_perc	0
3.16.5	16	3	Mix – warming	MIX	WARM	1	2	0	11	0.863636364	0_germ_perc	1	0_germ_perc	1
3.2.1	.2	3	Cockles – warming	COCKLE	WARM	2	0	2	10	0.45	0_germ_perc	0	0_germ_perc	0
3.2.2	.2	3	Shrimps – warming	SHRIMP	WARM	0	4	0	10	0.05	0_germ_perc	0.25	0_germ_perc	0.25
3.2.3	.2	3	Worms  - warming	WORM	WARM	0	0	12	10	0.15	0_germ_perc	0	0_germ_perc	0
3.2.4	.2	3	No fauna – warming	NO	WARM	0	0	1	10	0.05	0_germ_perc	0	0_germ_perc	0
3.2.5	.2	3	Mix – warming	MIX	WARM	1	2	4	10	0.7	0_germ_perc	0	0_germ_perc	0
3.3.1	.3	3	Cockles – warming	COCKLE	WARM	2	0	7	5	0.8	0_germ_perc	0	0_germ_perc	0
3.3.2	.3	3	Mix – warming	MIX	WARM	1	0	13	10	0.4	0_germ_perc	0	0_germ_perc	0
3.3.3	.3	3	No fauna – warming	NO	WARM	0	0	2	9	0.222222222	0_germ_perc	0	0_germ_perc	0
3.3.4	.3	3	Worms – warming	WORM	WARM	0	0	5	10	0.2	0_germ_perc	0.333333333	0_germ_perc	0.333333333
3.3.5	.3	3	Shrimps – warming	SHRIMP	WARM	0	2	3	10	0.3	0_germ_perc	0.25	0_germ_perc	0.25
3.4.1	.4	3	Mix – control	MIX	COLD	1	1	2	10	0.35	0_germ_perc	0.2	0_germ_perc	0.2
3.4.2	.4	3	Cockles – control	COCKLE	COLD	2	0	2	10	0.4	0_germ_perc	0	0_germ_perc	0
3.4.3	.4	3	No fauna – control	NO	COLD	0	0	0	8	0.125	0_germ_perc	0	0_germ_perc	0
3.4.4	.4	3	Worms  - control	WORM	COLD	0	0	10	10	0.15	0_germ_perc	0	0_germ_perc	0
3.4.5	.4	3	Shrimps – control	SHRIMP	COLD	0	2	0	9	1.888888889	0_germ_perc		0_germ_perc	
3.5.1	.5	3	No fauna – control	NO	COLD	0	0	0	9	0.333333333	0_germ_perc	0	0_germ_perc	0
3.5.2	.5	3	Shrimps – control	SHRIMP	COLD	0	1	6	10	0.1	0_germ_perc	0.142857143	0_germ_perc	0.142857143
