Sample ID	block	run	treatment	fauna	rank	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	0_nb	1_nb	2_nb	3_nb	4_nb	5_nb	germinated_perc	germ_perc_deep	0_germ_perc	1_germ_perc	germ_perc_1-6	2_germ_perc	3_germ_perc	4_germ_perc	5_germ_perc	germ_depth	germ_nb	0_germ_nb	1_germ_nb	2_germ_nb	3_germ_nb	4_germ_nb	5_germ_nb	GERM	DEEPNO	X1NO
1.8.4	.8	1	2 shrimp - control temp	SHRIMP	3	COLD	0	0	0	10	0.5	0	10	0	0	0	0	0	0		0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.8.5	.8	1	fauna mix - control temp	MIX	5	COLD	1	0	0	11	0.318181818	6	4	1	0	0	0	0.428571429	0	0.75	0	0	0				0	3	3	0	0	0	0	0	0.27	TRUE	TRUE
1.9.1	.9	1	fauna mix - warming	MIX	5	WARM	1	1	0	10	0.45	7	1	1	1	0	0	0.2	0	0.333333333	0	0		0			0	1	1	0	0	0	0	0	0.10	TRUE	FALSE
1.9.2	.9	1	2 shrimp - warming	SHRIMP	3	WARM	0	2	0	16	0.4375	2	14	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.9.3	.9	1	no fauna - warming	NO	1	WARM	0	0	0	9	0.388888889	4	4	1	0	0	0	0.166666667	0	0.333333333	0	0	0				0	1	1	0	0	0	0	0	0.11	TRUE	TRUE
1.9.4	.9	1	no fauna - warming	NO	1	WARM	0	0	0	10	0.1	8	2	0	0	0	0	0.2	1	0	1						0.5	1	0	1	0	0	0	0	0.10	FALSE	FALSE
1.9.5	.9	1	2 cockles - warming	COCKLE	2	WARM	2	0	0	11	0.454545455	1	10	0	0	0	0	0.333333333	0.2	1	0.2						0.25	2	1	1	0	0	0	0	0.18	TRUE	TRUE
2.1.1	.1	2	Worms-control temp	WORM	4	COLD	0	0	10	10	0	10	0	0	0	0	0	0.285714286		0.285714286							0	2	2	0	0	0	0	0	0.20	FALSE	FALSE
2.1.2	.1	2	no fauna-control temp	NO	1	COLD	0	0	0	9	0.222222222	5	4	0	0	0	0	0.25	0.25	0.25	0.25						0.25	2	1	1	0	0	0	0	0.22	TRUE	TRUE
2.1.3	.1	2	Mix-control temp	MIX	5	COLD	1	1	39	10	0.35	3	7	0	0	0	0	0.2	0.5	0	0.5						0.5	1	0	1	0	0	0	0	0.10	TRUE	TRUE
2.1.4	.1	2	Shrimps-control temp	SHRIMP	3	COLD	0	0	0	11	0.090909091	9	2	0	0	0	0	0.444444444	0	0.571428571	0						0	4	4	0	0	0	0	0	0.36	FALSE	FALSE
2.1.5	.1	2	Cockles-control temp	COCKLE	2	COLD	2	0	0	10	0.5	2	7	1	0	0	0	0.222222222	0.142857143	0.5	0.166666667	0	0				0.25	2	1	1	0	0	0	0	0.20	TRUE	TRUE
2.10.1	10	2	no fauna-Warming	NO	1	WARM	0	0	0	4	0	4	0	0	0	0	0	0.25		0.25							0	1	1	0	0	0	0	0	0.25	FALSE	TRUE
2.10.2	10	2	Shrimps-Warming	SHRIMP	3	WARM	0	0	0	10	0.1	8	2	0	0	0	0	0.125	0	0.166666667	0						0	1	1	0	0	0	0	0	0.10	FALSE	FALSE
2.10.3	10	2	Mix-Warming	MIX	5	WARM	1	1	10	9	0.333333333	5	3	1	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0.00	TRUE	TRUE
2.10.4	10	2	Worms-Warming	WORM	4	WARM	0	0	2	10	0.85	2	7	0	0	0	1	0.3	0.25	0.5	0.285714286	0				0	0.333333333	3	1	2	0	0	0	0	0.30	TRUE	TRUE
2.10.5	10	2	Cockles-Warming	COCKLE	2	WARM	2	0	0	13	0.884615385	2	7	2	2	0	0	0.076923077	0.090909091	0	0.142857143	0	0	0			0.5	1	0	1	0	0	0	0	0.08	TRUE	TRUE
2.11.1	11	2	Mix-Warming	MIX	5	WARM	1	1	10	9	0.777777778	1	7	0	0	1	0	0	0		0	0			0			0	0	0	0	0	0	0	0.00	TRUE	TRUE
2.11.2	11	2	Shrimps-Warming	SHRIMP	3	WARM	0	1	0	11	0.181818182	7	4	0	0	0	0	0.272727273	0.5	0.142857143	0.5						0.333333333	3	1	2	0	0	0	0	0.27	TRUE	TRUE
2.11.3	11	2	Worms-Warming	WORM	4	WARM	0	0	11	9	0	9	0	0	0	0	0	0.333333333		0.333333333							0	3	3	0	0	0	0	0	0.33	FALSE	TRUE
2.11.4	11	2	no fauna-Warming	NO	1	WARM	0	0	1	11	0.227272727	10	0	0	1	0	0	0.25	0	0.285714286		0		0			0	2	2	0	0	0	0	0	0.18	FALSE	FALSE
2.11.5	11	2	Cockles-Warming	COCKLE	2	WARM	2	0	1	10	0.35	3	7	0	0	0	0	0.3	0.285714286	0.333333333	0.285714286						0.333333333	3	1	2	0	0	0	0	0.30	TRUE	TRUE
2.12.1	12	2	no fauna-Warming	NO	1	WARM	0	0	0	9	0	9	0	0	0	0	0	0		0								0	0	0	0	0	0	0	0.00	FALSE	TRUE
2.12.2	12	2	Mix-Warming	MIX	5	WARM	1	2	5	10	0.55	3	6	0	1	0	0	0	0	0	0	0		0				0	0	0	0	0	0	0	0.00	TRUE	TRUE
2.12.3	12	2	Shrimps-Warming	SHRIMP	3	WARM	0	1	0	10	0.25	5	5	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
2.12.4	12	2	Cockles-Warming	COCKLE	2	WARM	2	0	2	10	0.65	1	8	0	1	0	0	0.166666667	0	1	0	0		0			0	1	1	0	0	0	0	0	0.10	TRUE	TRUE
2.12.5	12	2	Worms-Warming	WORM	4	WARM	0	0	9	10	0.05	9	1	0	0	0	0	0.222222222	0	0.25	0						0	2	2	0	0	0	0	0	0.20	FALSE	FALSE
2.13.1	13	2	Mix-Warming	MIX	5	WARM	1	1	9	11	0.909090909	3	4	2	2	0	0	0.333333333	0.333333333	0.333333333	0.333333333						0.25	2	1	1	0	0	0	0	0.22	TRUE	TRUE
2.13.2	13	2	Shrimps-Warming	SHRIMP	3	WARM	0	2	4	9	0.388888889	4	4	1	0	0	0	0.2	0	0.333333333	0						0	1	1	0	0	0	0	0	0.09	TRUE	TRUE
2.13.3	13	2	no fauna-Warming	NO	1	WARM	0	0	3	7	0	7	0	0	0	0	0	0		0								0	0	0	0	0	0	0	0.00	FALSE	TRUE
2.13.4	13	2	Cockles-Warming	COCKLE	2	WARM	2	0	1	11	0.272727273	5	6	0	0	0	0	0.272727273	0.166666667	0.4	0.166666667						0.166666667	3	2	1	0	0	0	0	0.09	TRUE	TRUE
2.13.5	13	2	Worms-Warming	WORM	4	WARM	0	0	17	9	0	9	0	0	0	0	0	0.125		0.125							0	1	1	0	0	0	0	0	0.13	FALSE	TRUE
2.14.1	14	2	Shrimps-Warming	SHRIMP	3	WARM	0	1	0	8	0.1875	5	3	0	0	0	0	0.142857143	0.5	0	0.5						0.5	1	0	1	0	0	0	0	0.13	TRUE	TRUE
2.14.2	14	2	Worms-Warming	WORM	4	WARM	0	0	2	8	0.125	6	2	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	FALSE	FALSE
2.14.3	14	2	Cockles-Warming	COCKLE	2	WARM	2	0	0	10	0.5	2	7	1	0	0	0	0.25	0.25		0.285714286	0	0				0.5	2	0	2	0	0	0	0	0.20	TRUE	TRUE
2.14.4	14	2	Mix-Warming	MIX	5	WARM	1	1	2	9	0.333333333	3	6	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
2.14.5	14	2	no fauna-Warming	NO	1	WARM	0	0	1	8	0.1875	5	3	0	0	0	0	0.285714286	0.333333333	0.25	0.333333333						0.25	2	1	1	0	0	0	0	0.33	TRUE	TRUE
2.15.1	15	2	Mix-Warming	MIX	5	WARM	1	0	6	11	0.636363636	1	9	0	1	0	0	0.125	0.142857143	0	0.142857143						0.5	1	0	1	0	0	0	0	0.09	TRUE	TRUE
2.15.2	15	2	Cockles-Warming	COCKLE	2	WARM	2	0	0	11	0.590909091	0	10	1	0	0	0	0.2	0.2		0.222222222	0	0				0.5	2	0	2	0	0	0	0	0.18	TRUE	TRUE
2.15.3	15	2	Shrimps-Warming	SHRIMP	3	WARM	0	0	1	12	0.083333333	10	2	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	FALSE	FALSE
2.15.4	15	2	no fauna-Warming	NO	1	WARM	0	0	2	10	0	10	0	0	0	0	0	0.2		0.2							0	2	2	0	0	0	0	0	0.20	FALSE	TRUE
2.15.5	15	2	Worms-Warming	WORM	4	WARM	0	0	12	9	0.166666667	6	3	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
2.16.1	16	2	no fauna-Warming	NO	1	WARM	0	0	1	9	0.277777778	4	5	0	0	0	0	0.111111111	0.2	0	0.2						0.5	1	0	1	0	0	0	0	0.11	TRUE	TRUE
2.16.2	16	2	Cockles-Warming	COCKLE	2	WARM	2	0	4	9	0.111111111	7	2	0	0	0	0	0.166666667	0	0.2	0						0	1	1	0	0	0	0	0	0.11	FALSE	FALSE
2.16.3	16	2	Worms-Warming	WORM	4	WARM	0	0	4	11	0.227272727	6	5	0	0	0	0	0.333333333	0	0.5	0						0	3	3	0	0	0	0	0	0.27	TRUE	TRUE
2.16.4	16	2	Shrimps-Warming	SHRIMP	3	WARM	0	2	3	8	0.125	6	2	0	0	0	0	0.5		0.5							0	1	1	0	0	0	0	0	0.13	FALSE	FALSE
